seq	kingdom	phylum	class	order	family	genus	species
seq_0272	1.00	0.98	0.98	0.98	0.98	0.98	0.98
seq_0001	1.00	1.00	0.62	0.62	0.62	0.62	0.62
seq_0200	1.00	0.82	0.24	0.09	0.08	0.08	0.08
seq_0010	1.00	0.88	0.28	0.14	0.14	0.14	0.01
seq_0003	1.00	0.56	0.56	0.45	0.26	0.26	0.22
seq_0044	1.00	0.53	0.53	0.48	0.28	0.28	0.18
seq_0041	1.00	0.50	0.50	0.12	0.11	0.06	0.06
seq_2127	1.00	0.91	0.91	0.05	0.05	0.05	0.05
seq_2128	0	NA	NA	NA	NA	NA	NA
seq_0020	1.00	0.92	0.27	0.22	0.22	0.19	0.14
seq_0032	1.00	0.99	0.72	0.14	0.14	0.14	0.13
seq_0038	1.00	0.43	0.43	0.08	0.05	0.03	0.02
seq_0096	1.00	0.98	0.89	0.77	0.77	0.77	0.70
seq_0008	1.00	0.13	0.12	0.04	0.02	0.02	0.02
seq_0004	1.00	0.89	0.89	0.72	0.72	0.71	0.71
seq_2130	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0040	0	NA	NA	NA	NA	NA	NA
seq_0015	1.00	0.97	0.91	0.55	0.09	0.05	0.05
seq_2129	1.00	0.90	0.17	0.13	0.03	0.03	0.03
seq_0043	1.00	0.92	0.92	0.47	0.25	0.25	0.13
seq_0011	1.00	0.87	0.48	0.40	0.35	0.32	0.29
seq_0002	1.00	0.99	0.89	0.76	0.17	0.17	0.17
seq_0024	1.00	0.44	0.44	0.19	0.05	0.04	0.04
seq_0031	1.00	0.83	0.83	0.44	0.44	0.27	0.27
seq_0022	1.00	1.00	0.92	0.47	0.47	0.47	0.20
seq_0014	1.00	0.99	0.52	0.49	0.27	0.25	0.25
seq_0009	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0166	1.00	0.95	0.93	0.78	0.05	0.05	0.04
seq_0045	1.00	0.72	0.72	0.31	0.04	0.04	0.03
seq_0005	1.00	1.00	1.00	1.00	1.00	1.00	1.00
seq_0048	1.00	1.00	1.00	0.98	0.97	0.87	0.24
seq_2132	1.00	0.88	0.88	0.37	0.30	0.23	0.17
seq_0018	1.00	0.98	0.30	0.19	0.19	0.19	0.19
