seq	kingdom	phylum	class	order	family	genus	species
seq_0005	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	Clitocybe robusta
seq_0009	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium sp.
seq_0012	Animalia	Arthropoda	Branchiopoda	Diplostraca	Moinidae	Moina	Moina sp.
seq_0028	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium cladosporioides
seq_0048	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium sp.
seq_0052	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena purpureofusca
seq_0063	Animalia	Arthropoda	Collembola	Entomobryomorpha	Entomobryidae	Lepidocyrtus	Lepidocyrtus paradoxus
seq_0068	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus cervinus
seq_0074	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Lepista	Lepista nuda
seq_0081	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria tritici
seq_0090	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Hypogymnia	Hypogymnia vittata
seq_0106	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Paralepista	Paralepista flaccida
seq_0142	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius sp.
seq_0178	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita sp.
seq_0181	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	Armillaria sinapina
seq_0241	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula sp.
seq_0272	Animalia	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
seq_0279	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	Peronospora violae
seq_0301	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Collybia	Collybia sp.
seq_0331	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus micaceus
seq_0339	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	Peronospora conglomerata
seq_0356	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus pannorum
seq_0395	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Clitocybe	Clitocybe rivulosa
seq_0397	Animalia	Arthropoda	Arachnida	Trombidiformes	Eriophyidae	Acalitus	Acalitus sp.
seq_0400	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune
seq_0437	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Bremia	Bremia lactucae
seq_0476	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma sp.
seq_0495	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma sp.
seq_0515	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora sp.
seq_0522	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Ganoderma	Ganoderma resinaceum
seq_0558	Fungi	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Rhynchobrunnera	Rhynchobrunnera orthospora
seq_0572	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Picipes	Picipes badius
seq_0592	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma equestre
seq_0631	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Lepista	Lepista sordida
seq_0660	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium dierckxii
seq_0669	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium sclerotiorum
seq_0674	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina sp.
seq_0720	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria sp.
seq_0726	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora abietis-canadensis
seq_0798	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora sp.
seq_0854	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercospora	Cercospora nicotianae
seq_0937	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium adametzii
seq_1004	Animalia	Arthropoda	Insecta	Hemiptera	Aphididae	Rhopalosiphum	Rhopalosiphum padi
seq_1006	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Rhizoctonia	Rhizoctonia sp.
