ODWell	OD	Plate	Well	Sample	DNA_C
A_1	672	1	A_1	HV03	0.07997139056169118
A_2	2603	1	A_2	HV11	0.2648612958192997
A_3	1605	1	A_3	HV17	0.16927664471667436
A_4	929	1	A_4	HV24	0.1045658139307602
A_5	350	1	A_5	HV32	0.04916217001860284
A_6	92	1	A_6	HV39	0.024481001741791204
A_7	75	1	A_7	HV47	0.022854863189537698
A_8	3315	1	A_8	HV13-3	0.3330904073800934
A_9	1095	1	A_9	HV23-3	0.12045380851677016
A_10	422	1	A_10	HV29-2	0.056050649325443916
A_11	219	1	A_11	HV33-3	0.0366297608536751
A_12	3211	1	A_12	K14	0.3231224641010059
B_1	1860	2	A_1	S01	0.19369390370069847
B_2	140	2	A_2	S08	0.029072545189898533
B_3	585	2	A_3	S16	0.0716465480077246
B_4	135	2	A_4	S24	0.028594252976580862
B_5	427	2	A_5	S31	0.05652902747154276
B_6	140	2	A_6	S39	0.029072545189898533
B_7	82	2	A_7	S52	0.023524447556308826
B_8	153	2	A_8	S60	0.030316111950890595
B_9	6600	2	A_9	S68	0.6482765684477114
B_10	636	2	A_10	S76	0.07652657315254051
B_11	50	2	A_11	BLANK	0.020463514404457858
B_12	47	2	A_12	K33	0.020176555065354068
C_1	1936	1	B_1	HV04	0.2009719576318064
C_2	175	1	B_2	HV12	0.032420632601552035
C_3	2372	1	B_3	HV18	0.24273168782168358
C_4	138	1	B_4	HV25	0.028881228124921048
C_5	203	1	B_5	HV33	0.03509915534809644
C_6	154	1	B_6	HV40	0.030411771351689668
C_7	2017	1	B_7	HV03-2	0.20872921166953878
C_8	47	1	B_8	BLANK	0.020176555065354068
C_9	800	1	B_9	HV23-4	0.092220258775585
C_10	205	1	B_10	HV29-3	0.035290480197925175
C_11	203	1	B_11	HV33-4	0.03509915534809644
C_12	1582	1	B_12	K15	0.1670744951577296
D_1	6636	2	B_1	S02	0.6517342430776621
D_2	1211	2	B_2	S09	0.13155724201888022
D_3	2827	2	B_3	S17	0.28632336129686214
