date,time,doy,Swin_1_1_1,Swnet_1_2_1,Lwnet_1_2_1,NetRad_1_2_1,Swin_1_2_1,Swout_1_2_1,Lwin_1_2_1,Lwout_1_2_1,Pa_1_1_1,PPFD_IN_1_2_1,PPFD_OUT_1_2_1,PPFD_DIR_1_1_1,PPFD_DIFF_1_1_1,Sun_1_1_1,T_canopy_1_1_1,Ta_1_1_1,RH_1_1_1,P_1_1_1,D_SNOW_1_1_1,qc_Swin_1_1_1,qc_Swnet_1_2_1,qc_Lwnet_1_2_1,qc_NetRad_1_2_1,qc_Swin_1_2_1,qc_Swout_1_2_1,qc_Lwin_1_2_1,qc_Lwout_1_2_1,qc_Pa_1_1_1,qc_PPFD_IN_1_2_1,qc_PPFD_OUT_1_2_1,qc_PPFD_DIR_1_1_1,qc_PPFD_DIFF_1_1_1,qc_Sun_1_1_1,qc_T_canopy_1_1_1,qc_Ta_1_1_1,qc_RH_1_1_1,qc_P_1_1_1,qc_D_SNOW_1_1_1
dd/mm/yyyy,HH:MM:SS (CET),-,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,hPa,umol+1m-2s-1,umol+1m-2s-1,umol+1m-2s-1,umol+1m-2s-1,fract.,degC,degC,%,mm,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01/01/2020,00:30:00,1.02,NaN,0,-73.0894,-73.0894,0,0,246.2771,319.3665,1014.323,0,0,0,0,0,NaN,1.276196,100,0,0.000028,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,01:00:00,1.041,NaN,0,-72.5551,-72.5551,0,0,246.0956,318.6507,1014.091,0,0,0,0,0,NaN,1.110434,100,0,-0.000425,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,01:30:00,1.062,NaN,0,-55.4014,-55.4014,0,0,262.3578,317.7592,1013.864,0,0,0,0,0,NaN,0.729422,100,0,0.000625,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,02:00:00,1.083,NaN,0,-59.3953,-59.3953,0,0,261.1819,320.5772,1013.947,0,0,0,0,0,NaN,1.368982,100,0,0.000642,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,02:30:00,1.104,NaN,0,-19.0861,-19.0861,0,0,304.786,323.8721,1013.766,0,0,0,0,0,NaN,2.042285,100,0,0.000617,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,03:00:00,1.124,NaN,0,-49.3838,-49.3838,0,0,275.1017,324.4855,1013.639,0,0,0,0,0,NaN,2.19667,100,0,-0.000253,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,03:30:00,1.145,NaN,0,-60.1322,-60.1322,0,0,264.1511,324.2833,1013.711,0,0,0,0,0,NaN,2.183808,100,0,-0.000342,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,04:00:00,1.166,NaN,0,-74.0763,-74.0763,0,0,250.5742,324.6505,1013.589,0,0,0,0,0,NaN,2.274892,100,0,-0.000575,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,04:30:00,1.187,NaN,0,-75.9535,-75.9535,0,0,248.7556,324.7091,1013.339,0,0,0,0,0,NaN,2.26859,100,0,-0.000492,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,05:00:00,1.208,NaN,0,-75.5404,-75.5404,0,0,249.55,325.0904,1013.479,0,0,0,0,0,NaN,2.391704,100,0,-0.000925,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,05:30:00,1.229,NaN,0,-68.6917,-68.6917,0,0,256.5393,325.231,1013.511,0,0,0,0,0,NaN,2.434059,100,0,-0.000947,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,06:00:00,1.249,NaN,0,-55.1569,-55.1569,0,0,270.9337,326.0906,1013.326,0,0,0,0,0,NaN,2.574703,100,0,-0.001011,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,06:30:00,1.27,NaN,0,-18.4272,-18.4272,0,0,309.6757,328.1029,1013.538,0,0,0,0,0,NaN,2.944618,100,0,-0.000678,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,07:00:00,1.291,NaN,0,-7.702,-7.702,0,0,322.5786,330.2806,1013.647,0,0,0,0,0,NaN,3.41576,98.14276,0,-0.000842,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,07:30:00,1.312,NaN,0,-8.1645,-8.1645,0,0,323.1557,331.3202,1013.521,0,0,0,0,0,NaN,3.630197,94.59624,0,-0.001003,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,08:00:00,1.333,NaN,0,-10.0262,-10.0262,0,0,322.073,332.0992,1013.381,0,0,0,0,0,NaN,3.799666,92.19551,0,-0.001189,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,08:30:00,1.354,NaN,0,-35.5654,-35.5654,0,0,296.9514,332.5168,1013.409,0,0,0,0,0,NaN,3.933646,91.13982,0,-0.001439,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,09:00:00,1.374,NaN,1.484702,-60.6708,-59.186098,2.894322,1.40962,270.906,331.5768,1013.356,8.56249,0.087294,NaN,NaN,NaN,NaN,3.752521,93.22392,0,-0.001314,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,09:30:00,1.395,NaN,16.370432,-73.4896,-57.119168,19.23696,2.866528,257.1179,330.6075,1013.132,32.58114,0.629081,NaN,NaN,NaN,NaN,3.556845,95.32848,0,-0.001403,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,10:00:00,1.416,NaN,46.821494,-62.7864,-15.964906,52.75205,5.930556,268.5825,331.3689,1013.105,75.18442,1.726985,NaN,NaN,NaN,NaN,3.656502,93.91609,0,-0.001528,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,10:30:00,1.437,NaN,45.296225,-12.8565,32.439725,49.87349,4.577265,320.9062,333.7627,1013.261,73.64432,1.374987,NaN,NaN,NaN,NaN,4.082154,89.78602,0,-0.002103,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,11:00:00,1.458,NaN,73.126184,-16.3934,56.732784,79.99695,6.870766,320.1422,336.5356,1013.06,118.013,2.226428,NaN,NaN,NaN,NaN,4.641995,86.32327,0,-0.002467,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,11:30:00,1.479,NaN,62.838736,-12.2497,50.589036,68.46122,5.622484,325.0869,337.3366,1012.851,103.4027,1.93154,NaN,NaN,NaN,NaN,4.793486,85.60715,0,-0.002917,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,12:00:00,1.499,NaN,80.310474,-12.3466,67.963874,87.643,7.332526,325.9056,338.2522,1012.732,131.2992,2.4692,NaN,NaN,NaN,NaN,4.963748,83.65082,0,-0.003086,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,12:30:00,1.52,NaN,52.464085,-11.1116,41.352485,57.08099,4.616905,327.0618,338.1734,1012.726,88.43847,1.649029,NaN,NaN,NaN,NaN,4.957203,83.67105,0,-0.002711,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,13:00:00,1.541,NaN,59.052194,-11.4826,47.569594,64.24908,5.196886,326.2513,337.7339,1012.448,98.70885,1.848589,NaN,NaN,NaN,NaN,4.850997,83.48219,0,-0.002972,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,13:30:00,1.562,NaN,55.08849,-11.4138,43.67469,60.01903,4.93054,325.9003,337.3141,1012.251,91.35775,1.700059,NaN,NaN,NaN,NaN,4.766362,84.15289,0,-0.003328,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,14:00:00,1.583,NaN,41.52509,-11.0679,30.45719,45.17049,3.6454,325.9099,336.9778,1012.237,68.95736,1.269887,NaN,NaN,NaN,NaN,4.700171,85.27013,0,-0.002997,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,14:30:00,1.604,NaN,38.088626,-12.4449,25.643726,41.34459,3.255964,323.9648,336.4097,1011.857,63.08659,1.154364,NaN,NaN,NaN,NaN,4.576741,87.39381,0,-0.002758,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,15:00:00,1.624,NaN,29.358563,-12.227,17.131563,32.03246,2.673897,323.8936,336.1206,1011.561,46.52478,0.828423,NaN,NaN,NaN,NaN,4.510947,87.82527,0,-0.002295,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,15:30:00,1.645,NaN,12.511127,-11.5567,0.954427,13.95065,1.439523,324.3052,335.8619,1011.582,19.95003,0.317037,NaN,NaN,NaN,NaN,4.485854,87.09706,0,-0.001814,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,16:00:00,1.666,NaN,3.700927,-12.4464,-8.745473,4.421384,0.720457,323.2463,335.6927,1011.455,5.323686,0.028012,NaN,NaN,NaN,NaN,4.476928,86.71854,0,-0.001517,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,16:30:00,1.687,NaN,0.091815,-12.7337,-12.641885,0.447871,0.356056,322.7495,335.4832,1011.483,0,0,NaN,NaN,NaN,NaN,4.440302,86.47949,0,-0.001225,9,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,0,0
01/01/2020,17:00:00,1.708,NaN,0,-12.8883,-12.8883,0,0,322.6145,335.5028,1011.564,0,0,0,0,0,NaN,4.459569,85.96392,0,-0.001042,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,17:30:00,1.729,NaN,0,-16.4358,-16.4358,0,0,319.0378,335.4736,1011.47,0,0,0,0,0,NaN,4.455706,86.2985,0,-0.000994,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,18:00:00,1.749,NaN,0,-12.9313,-12.9313,0,0,322.6859,335.6172,1011.447,0,0,0,0,0,NaN,4.481213,86.41726,0,-0.001039,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,18:30:00,1.77,NaN,0,-10.211,-10.211,0,0,325.5338,335.7448,1011.447,0,0,0,0,0,NaN,4.485116,87.14134,0,-0.001011,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,19:00:00,1.791,NaN,0,-9.3741,-9.3741,0,0,326.1841,335.5582,1011.751,0,0,0,0,0,NaN,4.442241,88.33456,0,-0.001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,19:30:00,1.812,NaN,0,-9.2814,-9.2814,0,0,325.8191,335.1005,1011.969,0,0,0,0,0,NaN,4.333508,88.5126,0,-0.001028,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,20:00:00,1.833,NaN,0,-9.1417,-9.1417,0,0,325.6769,334.8186,1011.914,0,0,0,0,0,NaN,4.276406,88.60841,0,-0.001069,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,20:30:00,1.854,NaN,0,-10.9706,-10.9706,0,0,323.6913,334.6619,1011.873,0,0,0,0,0,NaN,4.236686,88.66243,0,-0.000975,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,21:00:00,1.874,NaN,0,-21.8091,-21.8091,0,0,312.5134,334.3225,1011.448,0,0,0,0,0,NaN,4.212672,87.03976,0,-0.001094,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,21:30:00,1.895,NaN,0,-24.8481,-24.8481,0,0,308.6003,333.4484,1011.194,0,0,0,0,0,NaN,4.028215,87.58229,0,-0.001483,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,22:00:00,1.916,NaN,0,-47.4087,-47.4087,0,0,284.0836,331.4923,1010.997,0,0,0,0,0,NaN,3.653535,87.73634,0,-0.001239,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,22:30:00,1.937,NaN,0,-43.7275,-43.7275,0,0,285.5863,329.3138,1011,0,0,0,0,0,NaN,3.205323,89.0078,0,-0.001067,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,23:00:00,1.958,NaN,0,-30.0166,-30.0166,0,0,297.7498,327.7664,1010.46,0,0,0,0,0,NaN,2.842547,90.3407,0,-0.000808,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
01/01/2020,23:30:00,1.979,NaN,0,-37.2954,-37.2954,0,0,288.1992,325.4946,1009.945,0,0,0,0,0,NaN,2.34902,91.85593,0,-0.000939,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
02/01/2020,00:00:00,2,NaN,0,-30.6755,-30.6755,0,0,293.3282,324.0037,1010.157,0,0,0,0,0,NaN,2.016095,93.12557,0,-0.000778,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
