Sample	BT_Size_frac	SizeFrac	count	match
S01	Ch5_6	1	77088.3	TRUE
S02	Ch5_6	2	77088.3	TRUE
S03	Ch4	3	469458.3	TRUE
S04	Ch3	4	1571358.5	TRUE
S05	Ch3	5	1571358.5	TRUE
S09	Ch5_6	1	60809.1	TRUE
S10	Ch5_6	2	60809.1	TRUE
S11	Ch4	3	239790.9	TRUE
S12	Ch3	4	891378.6	TRUE
S13	Ch3	5	891378.6	TRUE
S17	Ch5_6	1	71995	TRUE
S18	Ch5_6	2	71995	TRUE
S19	Ch4	3	224143.7	TRUE
S20	Ch3	4	639442.9	TRUE
S21	Ch3	5	639442.9	TRUE
S25	Ch5_6	1	90210.90000000001	TRUE
S26	Ch5_6	2	90210.90000000001	TRUE
S27	Ch4	3	261275.7	TRUE
S28	Ch3	4	676981.7	TRUE
S29	Ch3	5	676981.7	TRUE
S33	Ch5_6	1	103774	TRUE
S34	Ch5_6	2	103774	TRUE
S35	Ch4	3	501577.3	TRUE
S36	Ch3	4	1837053.3	TRUE
S37	Ch3	5	1837053.3	TRUE
S47	Ch5_6	1	16316.5	TRUE
S48	Ch5_6	2	16316.5	TRUE
S49	Ch4	3	80894.7	TRUE
S50	Ch3	4	306887.6	TRUE
S51	Ch3	5	306887.6	TRUE
S56	Ch5_6	1	172598.9	TRUE
S57	Ch5_6	2	172598.9	TRUE
S58	Ch4	3	442922.5	TRUE
S59	Ch3	4	1472599.8	TRUE
S60	Ch3	5	1472599.8	TRUE
S65	Ch5_6	1	290105.89999999997	TRUE
S66	Ch5_6	2	290105.89999999997	TRUE
S67	Ch4	3	1107745.7	TRUE
S68	Ch3	4	3775364.3	TRUE
S69	Ch3	5	3775364.3	TRUE
S73	Ch5_6	1	36882.3	TRUE
S74	Ch5_6	2	36882.3	TRUE
S75	Ch4	3	51130.7	TRUE
S76	Ch3	4	109371	TRUE
S77	Ch3	5	109371	TRUE
