Sample_ID	Type	Start_Date	End_Date	Time_h	SizeFrac	Blank	Location	Description
Extr_Bl	Blank	NA	NA	NA	NA	Blank	NA	Extraction blank
S01	NGI	2020-10-08 00:00:00	2020-10-11 00:00:00	72	1	NA	Hyltemossa	NA
S02	NGI	2020-10-08 00:00:00	2020-10-11 00:00:00	72	2	NA	Hyltemossa	NA
S03	NGI	2020-10-08 00:00:00	2020-10-11 00:00:00	72	3	NA	Hyltemossa	NA
S04	NGI	2020-10-08 00:00:00	2020-10-11 00:00:00	72	4	NA	Hyltemossa	NA
S05	NGI	2020-10-08 00:00:00	2020-10-11 00:00:00	72	5	NA	Hyltemossa	NA
S06	NGI	2020-10-08 00:00:00	2020-10-11 00:00:00	72	6	NA	Hyltemossa	NA
S07	NGI	2020-10-08 00:00:00	2020-10-11 00:00:00	72	7	NA	Hyltemossa	NA
S08	NGI	2020-10-08 00:00:00	2020-10-11 00:00:00	72	8	NA	Hyltemossa	NA
S09	NGI	2020-10-11 00:00:00	2020-10-14 00:00:00	72	1	NA	Hyltemossa	NA
S10	NGI	2020-10-11 00:00:00	2020-10-14 00:00:00	72	2	NA	Hyltemossa	NA
S11	NGI	2020-10-11 00:00:00	2020-10-14 00:00:00	72	3	NA	Hyltemossa	NA
S12	NGI	2020-10-11 00:00:00	2020-10-14 00:00:00	72	4	NA	Hyltemossa	NA
S13	NGI	2020-10-11 00:00:00	2020-10-14 00:00:00	72	5	NA	Hyltemossa	NA
S14	NGI	2020-10-11 00:00:00	2020-10-14 00:00:00	72	6	NA	Hyltemossa	NA
S15	NGI	2020-10-11 00:00:00	2020-10-14 00:00:00	72	7	NA	Hyltemossa	NA
S16	NGI	2020-10-11 00:00:00	2020-10-14 00:00:00	72	8	NA	Hyltemossa	NA
S17	NGI	2020-10-14 00:00:00	2020-10-17 00:00:00	72	1	NA	Hyltemossa	NA
S18	NGI	2020-10-14 00:00:00	2020-10-17 00:00:00	72	2	NA	Hyltemossa	NA
S19	NGI	2020-10-14 00:00:00	2020-10-17 00:00:00	72	3	NA	Hyltemossa	NA
S20	NGI	2020-10-14 00:00:00	2020-10-17 00:00:00	72	4	NA	Hyltemossa	NA
S21	NGI	2020-10-14 00:00:00	2020-10-17 00:00:00	72	5	NA	Hyltemossa	NA
S22	NGI	2020-10-14 00:00:00	2020-10-17 00:00:00	72	6	NA	Hyltemossa	NA
S23	NGI	2020-10-14 00:00:00	2020-10-17 00:00:00	72	7	NA	Hyltemossa	NA
S24	NGI	2020-10-14 00:00:00	2020-10-17 00:00:00	72	8	NA	Hyltemossa	NA
S25	NGI	2020-10-17 00:00:00	2020-10-20 00:00:00	72	1	NA	Hyltemossa	NA
S26	NGI	2020-10-17 00:00:00	2020-10-20 00:00:00	72	2	NA	Hyltemossa	NA
S27	NGI	2020-10-17 00:00:00	2020-10-20 00:00:00	72	3	NA	Hyltemossa	NA
S28	NGI	2020-10-17 00:00:00	2020-10-20 00:00:00	72	4	NA	Hyltemossa	NA
S29	NGI	2020-10-17 00:00:00	2020-10-20 00:00:00	72	5	NA	Hyltemossa	NA
S30	NGI	2020-10-17 00:00:00	2020-10-20 00:00:00	72	6	NA	Hyltemossa	NA
